Domain,Problem,SPC,v8.2.0,v8.1.0,v8.0.0,v7.5.0,v7.4.0,v7.3.0,v7.2.0,v7.1.0,v7.0.0,v6.4.0,v6.3.0,v6.2.0,v6.1.0,v6.0.0,v5.5.0,v5.4.0,v5.3.0,v5.2.0,v5.1.0,v5.0.0,v4.1.0,v4.0.1,v4.0.0,v3.7.0,v3.5.0,v3.4.0,v3.3.0,v3.2.0,v3.1.0,v2.7.0,v2.6.0,v2.5.0,v2.4.0,v2.3.0.,v2.3.0,v2.2.1,v2.2.0,v2.1.0,v2.0.0,.0
LCL,LCL512+1.p,FOF_THM_RFO_SEQ,0.10,0.10,0.10,0.10,0.10,0.10,0.14,0.14,0.17,0.17,0.19,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.21,0.21,,,,,,,,,,,,,
LCL,LCL513+1.p,FOF_THM_RFO_SEQ,0.58,0.61,0.67,0.67,0.69,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.71,0.74,0.74,0.79,,,,,,,,,,,,,
LCL,LCL514+1.p,FOF_THM_RFO_SEQ,0.80,0.80,0.80,0.80,0.80,0.80,0.83,0.83,0.83,0.88,0.88,0.88,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,,,,,,,,,,,,,
LCL,LCL515+1.p,FOF_THM_RFO_SEQ,0.81,0.81,0.81,0.81,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.84,0.90,0.90,0.90,0.90,0.90,0.90,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,,,,,,,,,,,,,
LCL,LCL516+1.p,FOF_THM_RFO_SEQ,0.53,0.53,0.53,0.53,0.59,0.60,0.60,0.60,0.60,0.60,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,,,,,,,,,,,,,
LCL,LCL517+1.p,FOF_THM_RFO_SEQ,0.53,0.53,0.53,0.53,0.53,0.53,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.62,0.63,0.63,0.63,0.63,0.63,0.63,0.63,,,,,,,,,,,,,
LCL,LCL518+1.p,FOF_THM_RFO_SEQ,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.50,0.50,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.57,0.57,0.58,0.58,0.58,0.63,,,,,,,,,,,,,
LCL,LCL519+1.p,FOF_THM_RFO_SEQ,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.57,0.57,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.62,0.62,0.62,0.62,0.62,0.63,0.63,0.63,,,,,,,,,,,,,
LCL,LCL520+1.p,FOF_THM_RFO_SEQ,0.47,0.47,0.47,0.47,0.47,0.50,0.52,0.52,0.52,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.58,0.58,0.58,0.58,0.63,0.63,0.63,,,,,,,,,,,,,
LCL,LCL521+1.p,FOF_THM_RFO_SEQ,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.91,0.91,0.96,0.96,0.96,0.96,0.96,0.96,0.96,,,,,,,,,,,1.00,,,,,,,,,,,,,
LCL,LCL522+1.p,FOF_THM_RFO_SEQ,0.81,0.81,0.81,0.81,0.84,0.86,0.86,0.87,0.87,0.92,0.92,0.92,0.92,0.96,0.96,0.96,,,,,,,,,,,1.00,,,,,,,,,,,,,
LCL,LCL523+1.p,FOF_THM_RFO_SEQ,0.56,0.56,0.56,0.56,0.57,0.57,0.67,0.67,0.67,0.67,0.67,0.67,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.79,,,,,,,,,,,,,
LCL,LCL524+1.p,FOF_THM_RFO_SEQ,0.50,0.50,0.50,0.50,0.50,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.62,0.67,0.68,0.68,0.68,0.68,0.68,0.79,,,,,,,,,,,,,
LCL,LCL525+1.p,FOF_THM_RFO_SEQ,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.22,0.23,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,,,,,,,,,,,,,
LCL,LCL526+1.p,FOF_THM_RFO_SEQ,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.37,0.38,0.38,0.43,0.43,0.43,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.53,,,,,,,,,,,,,
LCL,LCL527+1.p,FOF_THM_RFO_SEQ,0.11,0.11,0.11,0.11,0.12,0.14,0.14,0.14,0.17,0.20,0.20,0.20,0.20,0.20,0.22,0.26,0.30,0.30,0.30,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.37,,,,,,,,,,,,,
LCL,LCL528+1.p,FOF_THM_RFO_SEQ,0.64,0.64,0.69,0.69,0.70,0.70,0.72,0.73,0.73,0.73,0.75,0.75,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.79,0.79,0.79,0.79,,,,,,,,,,,,,
LCL,LCL529+1.p,FOF_THM_RFO_SEQ,0.14,0.14,0.19,0.19,0.21,0.21,0.21,0.21,0.22,0.23,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.37,,,,,,,,,,,,,
LCL,LCL530+1.p,FOF_THM_RFO_SEQ,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.96,0.96,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,
LCL,LCL531+1.p,FOF_THM_RFO_SEQ,0.17,0.17,0.22,0.22,0.23,0.23,0.24,0.24,0.26,0.27,0.29,0.29,0.36,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.53,,,,,,,,,,,,,
LCL,LCL532+1.p,FOF_THM_RFO_SEQ,0.97,0.97,0.97,0.97,0.97,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,
LCL,LCL533+1.p,FOF_THM_RFO_SEQ,0.53,0.53,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.58,0.58,0.60,0.65,0.65,0.65,0.65,0.65,0.65,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.74,,,,,,,,,,,,,
LCL,LCL534+1.p,FOF_THM_RFO_SEQ,0.89,0.92,0.93,0.93,0.93,0.93,0.93,0.96,0.96,0.96,0.96,0.96,0.96,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,
LCL,LCL535+1.p,FOF_THM_RFO_SEQ,0.53,0.53,0.56,0.56,0.56,0.57,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.65,0.65,0.65,0.65,0.65,0.65,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.79,,,,,,,,,,,,,
LCL,LCL536+1.p,FOF_THM_RFO_SEQ,0.10,0.10,0.10,0.10,0.10,0.10,0.17,0.17,0.23,0.23,0.25,0.25,0.28,0.35,0.35,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.42,0.47,,,,,,,,,,,,,
LCL,LCL537+1.p,FOF_THM_RFO_SEQ,0.53,0.53,0.53,0.53,0.53,0.53,0.62,0.63,0.63,0.63,0.67,0.67,0.68,0.70,0.70,0.70,0.70,0.70,0.70,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,,,,,,,,,,,,,
LCL,LCL538+1.p,FOF_THM_RFO_SEQ,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.22,0.23,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,,,,,,,,,,,,,
LCL,LCL539+1.p,FOF_THM_RFO_SEQ,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.33,0.38,0.38,0.44,0.45,0.45,0.45,0.45,0.45,0.45,0.48,0.53,0.53,0.53,0.53,0.53,0.53,0.53,,,,,,,,,,,,,
LCL,LCL540+1.p,FOF_THM_RFO_SEQ,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.17,0.20,0.20,0.20,0.20,0.20,0.22,0.26,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.37,,,,,,,,,,,,,
LCL,LCL541+1.p,FOF_THM_RFO_SEQ,0.64,0.67,0.69,0.69,0.70,0.70,0.72,0.73,0.73,0.73,0.73,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.83,,,,,,,,,,,,,,,,,
LCL,LCL542+1.p,FOF_THM_RFO_SEQ,0.14,0.14,0.17,0.17,0.17,0.17,0.17,0.17,0.20,0.20,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.37,,,,,,,,,,,,,
LCL,LCL543+1.p,FOF_CSA_RFO_SEQ,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,
LCL,LCL544+1.p,FOF_THM_RFO_SEQ,0.17,0.19,0.21,0.21,0.21,0.21,0.21,0.21,0.22,0.23,0.25,0.25,0.32,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.37,0.53,,,,,,,,,,,,,
LCL,LCL545+1.p,FOF_THM_RFO_SEQ,0.97,0.97,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,
LCL,LCL546+1.p,FOF_THM_RFO_SEQ,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.46,0.46,0.52,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.68,,,,,,,,,,,,,
LCL,LCL547+1.p,FOF_THM_RFO_SEQ,0.83,0.86,0.86,0.86,0.86,0.86,0.86,0.90,0.91,0.92,0.92,0.92,0.92,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,,,,,,,,,,,,,
LCL,LCL548+1.p,FOF_THM_RFO_SEQ,0.58,0.58,0.60,0.60,0.60,0.60,0.67,0.67,0.67,0.67,0.67,0.67,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.79,,,,,,,,,,,,,
LCL,LCL549+1.p,FOF_THM_RFO_SEQ,0.58,0.60,0.60,0.60,0.60,0.60,0.62,0.62,0.62,0.62,0.62,0.62,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.78,0.78,0.78,0.78,0.79,0.79,0.79,0.79,,,,,,,,,,,,,
LCL,LCL550+1.p,FOF_THM_RFO_SEQ,0.61,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.71,0.71,0.71,0.72,0.77,0.80,0.80,0.80,0.80,0.80,0.83,0.83,0.83,0.83,0.88,0.89,0.89,0.89,,,,,,,,,,,,,
LCL,LCL551+1.p,FOF_THM_RFO_SEQ,0.72,0.78,0.78,0.78,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.88,0.95,0.95,0.95,,,,,,,,,,,,,
LCL,LCL552+1.p,FOF_THM_RFO_SEQ,0.75,0.78,0.78,0.78,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.88,0.95,0.95,0.95,,,,,,,,,,,,,
LCL,LCL553+1.p,FOF_THM_RFO_SEQ,0.72,0.78,0.81,0.81,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.87,0.88,0.95,0.95,0.95,,,,,,,,,,,,,
LCL,LCL554+1.p,FOF_THM_RFO_SEQ,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,,,,,1.00,,,,,,,,,,,,,
LCL,LCL555+1.p,FOF_THM_RFO_SEQ,0.75,0.75,0.75,0.75,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.88,0.95,0.95,0.95,,,,,,,,,,,,,
LCL,LCL556+1.p,FOF_THM_RFO_SEQ,0.75,0.75,0.75,0.75,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.88,0.95,0.95,0.95,,,,,,,,,,,,,
LCL,LCL557+1.p,FOF_THM_RFO_SEQ,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.88,0.95,0.95,0.95,,,,,,,,,,,,,
LCL,LCL558+1.p,FOF_THM_RFO_SEQ,0.78,0.81,0.81,0.81,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.88,0.95,0.95,0.95,,,,,,,,,,,,,
LCL,LCL559+1.p,FOF_THM_RFO_SEQ,0.78,0.81,0.81,0.81,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.88,0.95,0.95,0.95,,,,,,,,,,,,,
LCL,LCL560+1.p,FOF_THM_RFO_SEQ,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,,,,,1.00,,,,,,,,,,,,,
LCL,LCL561+1.p,FOF_THM_RFO_SEQ,0.75,0.75,0.75,0.75,0.81,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.88,0.95,0.95,0.95,,,,,,,,,,,,,
LCL,LCL562+1.p,FOF_THM_RFO_SEQ,0.75,0.75,0.75,0.75,0.81,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.88,0.95,0.95,0.95,,,,,,,,,,,,,
LCL,LCL563+1.p,FOF_THM_RFO_SEQ,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.91,0.96,,,1.00,,,,,,,,,,,,,
LCL,LCL564+1.p,FOF_THM_RFO_SEQ,0.86,0.86,0.86,0.86,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.92,0.95,0.95,0.95,,,,,,,,,,,,,
LCL,LCL565+1.p,FOF_CSA_RFO_SEQ,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.33,0.33,0.33,0.33,0.67,0.73,0.75,0.75,0.75,0.86,,,,,,,,,,1.00,,,,,,,,,,,,,
LCL,LCL566+1.p,FOF_THM_RFO_SEQ,0.72,0.72,0.75,0.75,0.79,0.79,0.79,0.79,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.84,0.84,0.84,,,,,,,,,,,,,
LCL,LCL567+1.p,FOF_CSA_RFO_SEQ,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.33,0.33,0.33,0.33,0.67,0.75,0.75,0.75,0.75,0.86,,,,,,,,,,1.00,,,,,,,,,,,,,
LCL,LCL568+1.p,FOF_THM_RFO_SEQ,0.75,0.75,0.75,0.75,0.79,0.79,0.79,0.79,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.84,0.84,0.84,,,,,,,,,,,,,
LCL,LCL569+1.p,FOF_CSA_RFO_SEQ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.33,0.36,0.36,0.38,0.38,0.57,0.67,0.67,0.67,0.71,,,,,,1.00,,,,,,,,,,,,,
LCL,LCL570+1.p,FOF_THM_RFO_SEQ,0.94,0.94,0.94,0.94,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,,,,,,,,,,,,,
LCL,LCL571+1.p,FOF_CSA_RFO_SEQ,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.33,0.33,0.33,0.33,0.67,0.73,0.75,0.75,0.75,0.86,,,,,,,,,,1.00,,,,,,,,,,,,,
LCL,LCL572+1.p,FOF_THM_RFO_SEQ,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.97,,,,,,,,,,,,,1.00,,,,,,,,,,,,,
LCL,LCL573+1.p,FOF_THM_RFO_SEQ,0.75,0.75,0.75,0.75,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.84,0.84,0.84,,,,,,,,,,,,,
LCL,LCL574+1.p,FOF_THM_RFO_SEQ,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.97,,,,,,,,,,,,,1.00,,,,,,,,,,,,,
LCL,LCL575+1.p,FOF_THM_RFO_SEQ,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,,,1.00,,,,,,,,,,,,,
LCL,LCL576+1.p,FOF_CSA_RFO_SEQ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.25,0.25,0.25,0.25,0.57,0.67,0.67,0.67,0.71,,,,,,1.00,,,,,,,,,,,,,
LCL,LCL577+1.p,FOF_CSA_RFO_SEQ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.25,0.25,0.25,0.25,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.95,1.00,,,,,,,,,,,,,
LCL,LCL578+1.p,FOF_CSA_RFO_SEQ,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.33,0.33,0.33,0.33,0.50,0.50,0.50,0.50,0.50,0.71,0.83,0.83,0.83,0.86,,,,,,1.00,,,,,,,,,,,,,
LCL,LCL579^1.p,TH0_THM_NEQ_NAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.20,0.25,0.25,0.25,0.25,0.25,0.33,0.33,0.33,,,,,,,,,,,,,,,,
LCL,LCL579^2.p,TH0_THM_NEQ_NAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.20,0.25,0.25,0.25,,,,,,,,,,,,,,,,,,,,,
LCL,LCL580^1.p,TH0_THM_EQU_NAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,,,,,,,,,,,,,,,,
LCL,LCL581^1.p,TH0_THM_EQU_NAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,,,,,,,,,,,,,,,,
LCL,LCL582^1.p,TH0_CSA_EQU_NAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,,,,,,,,,,,,,,,,
LCL,LCL583^1.p,TH0_THM_EQU_NAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,,,,,,,,,,,,,,,,
LCL,LCL584^1.p,TH0_THM_EQU_NAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,,,,,,,,,,,,,,,,
