Domain,Problem,SPC,v8.2.0,v8.1.0,v8.0.0,v7.5.0,v7.4.0,v7.3.0,v7.2.0,v7.1.0,v7.0.0,v6.4.0,v6.3.0,v6.2.0,v6.1.0,v6.0.0,v5.5.0,v5.4.0,v5.3.0,v5.2.0,v5.1.0,v5.0.0,v4.1.0,v4.0.1,v4.0.0,v3.7.0,v3.5.0,v3.4.0,v3.3.0,v3.2.0,v3.1.0,v2.7.0,v2.6.0,v2.5.0,v2.4.0,v2.3.0.,v2.3.0,v2.2.1,v2.2.0,v2.1.0,v2.0.0,.0
AGT,AGT001+1.p,FOF_THM_RFO_SEQ,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGT,AGT001+2.p,FOF_THM_RFO_SEQ,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGT,AGT002+1.p,FOF_THM_RFO_SEQ,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGT,AGT002+2.p,FOF_THM_RFO_SEQ,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGT,AGT003+1.p,FOF_THM_RFO_SEQ,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.21,0.29,0.29,,,,,,,,,,,,
AGT,AGT003+2.p,FOF_THM_RFO_SEQ,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.10,0.11,0.21,0.21,,,,,,,,,,,,
AGT,AGT004+1.p,FOF_THM_RFO_SEQ,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,,,,,,,,,,,,
AGT,AGT004+2.p,FOF_THM_RFO_SEQ,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGT,AGT005+1.p,FOF_THM_RFO_SEQ,0.31,0.31,0.31,0.31,0.33,0.33,0.34,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.47,0.50,0.50,,,,,,,,,,,,
AGT,AGT005+2.p,FOF_THM_RFO_SEQ,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.10,0.11,0.16,0.21,,,,,,,,,,,,
AGT,AGT006+1.p,FOF_THM_RFO_SEQ,0.72,0.72,0.72,0.72,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.87,0.87,0.87,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,,,,,,,,,,,,
AGT,AGT006+2.p,FOF_THM_RFO_SEQ,0.67,0.67,0.67,0.67,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.83,0.83,0.83,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,,,,,,,,,,,,
AGT,AGT007+1.p,FOF_THM_RFO_SEQ,0.75,0.75,0.75,0.75,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,,,,,,,,,,,,,
AGT,AGT007+2.p,FOF_THM_RFO_SEQ,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.87,0.87,0.87,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.93,,,,,,,,,,,,
AGT,AGT008+1.p,FOF_THM_RFO_SEQ,0.81,0.81,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.85,0.88,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.92,0.93,0.93,0.93,0.93,,,,,,,,,,,,
AGT,AGT008+2.p,FOF_THM_RFO_SEQ,0.75,0.78,0.78,0.78,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.83,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.88,0.89,0.89,0.89,0.93,,,,,,,,,,,,
AGT,AGT009+1.p,FOF_THM_RFO_SEQ,0.58,0.58,0.58,0.58,0.61,0.61,0.61,0.61,0.61,0.67,0.75,0.75,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,,,,,,,,,,,,
AGT,AGT009+2.p,FOF_THM_RFO_SEQ,0.61,0.61,0.61,0.61,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.74,0.74,0.79,,,,,,,,,,,,
AGT,AGT010+1.p,FOF_THM_RFO_SEQ,0.72,0.72,0.72,0.72,0.74,0.74,0.74,0.74,0.74,0.79,0.79,0.79,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.86,0.86,0.86,0.86,,,,,,,,,,,,
AGT,AGT010+2.p,FOF_THM_RFO_SEQ,0.67,0.67,0.67,0.67,0.70,0.70,0.70,0.70,0.70,0.71,0.71,0.71,0.78,0.78,0.78,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,,,,,,,,,,,,
AGT,AGT011+1.p,FOF_THM_RFO_SEQ,0.75,0.75,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.79,0.79,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,,,,,,,,,,,,
AGT,AGT011+2.p,FOF_THM_RFO_SEQ,0.69,0.69,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,,,,,,,,,,,,
AGT,AGT012+1.p,FOF_THM_RFO_SEQ,0.61,0.61,0.61,0.61,0.65,0.65,0.65,0.65,0.65,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,,,,,,,,,,,,
AGT,AGT012+2.p,FOF_THM_RFO_SEQ,0.64,0.64,0.64,0.64,0.65,0.65,0.65,0.65,0.65,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,,,,,,,,,,,,
AGT,AGT013+1.p,FOF_THM_RFO_SEQ,0.72,0.72,0.75,0.75,0.78,0.78,0.78,0.78,0.78,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.83,0.83,0.86,0.86,0.86,0.86,0.86,0.86,,,,,,,,,,,,
AGT,AGT013+2.p,FOF_THM_RFO_SEQ,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.75,0.75,0.75,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,,,,,,,,,,,,
AGT,AGT014+1.p,FOF_THM_RFO_SEQ,0.17,0.17,0.19,0.19,0.20,0.20,0.20,0.20,0.20,0.20,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,,,,,,,,,,,,
AGT,AGT014+2.p,FOF_THM_RFO_SEQ,0.11,0.11,0.11,0.11,0.12,0.15,0.15,0.15,0.15,0.15,0.15,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.20,0.20,0.20,0.20,0.20,0.21,0.21,0.21,,,,,,,,,,,,
AGT,AGT015+1.p,FOF_THM_RFO_SEQ,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.19,0.19,0.19,0.20,0.20,0.20,0.20,0.20,0.21,0.21,0.21,,,,,,,,,,,,
AGT,AGT015+2.p,FOF_THM_RFO_SEQ,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,,,,,,,,,,,,
AGT,AGT016+1.p,FOF_THM_RFO_SEQ,0.17,0.19,0.19,0.19,0.19,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,,,,,,,,,,,,
AGT,AGT016+2.p,FOF_THM_RFO_SEQ,0.11,0.14,0.14,0.14,0.16,0.17,0.17,0.17,0.17,0.17,0.19,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.21,0.21,0.21,,,,,,,,,,,,
AGT,AGT017+1.p,FOF_THM_RFO_SEQ,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.21,,,,,,,,,,,,
AGT,AGT017+2.p,FOF_THM_RFO_SEQ,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGT,AGT018+1.p,FOF_THM_RFO_SEQ,0.61,0.61,0.61,0.61,0.65,0.65,0.65,0.65,0.65,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,,,,,,,,,,,,
AGT,AGT018+2.p,FOF_THM_RFO_SEQ,0.64,0.64,0.64,0.64,0.65,0.65,0.65,0.65,0.65,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,,,,,,,,,,,,
AGT,AGT019+1.p,FOF_THM_RFO_SEQ,0.61,0.61,0.61,0.61,0.70,0.70,0.70,0.70,0.70,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,,,,,,,,,,,,
AGT,AGT019+2.p,FOF_THM_RFO_SEQ,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,,,,,,,,,,,,
AGT,AGT020+1.p,FOF_THM_RFO_SEQ,0.61,0.61,0.64,0.64,0.65,0.65,0.65,0.65,0.65,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,,,,,,,,,,,,
AGT,AGT020+2.p,FOF_THM_RFO_SEQ,0.61,0.61,0.61,0.61,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.79,0.79,0.79,,,,,,,,,,,,
AGT,AGT021+1.p,FOF_THM_RFO_SEQ,0.81,0.81,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.92,0.93,0.93,0.93,0.93,,,,,,,,,,,,
AGT,AGT021+2.p,FOF_THM_RFO_SEQ,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.88,0.89,0.89,0.89,0.93,,,,,,,,,,,,
AGT,AGT022+1.p,FOF_THM_RFO_SEQ,0.67,0.67,0.72,0.72,0.74,0.74,0.74,0.74,0.74,0.75,0.75,0.75,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.89,0.93,,,,,,,,,,,,
AGT,AGT022+2.p,FOF_THM_RFO_SEQ,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.71,0.71,0.71,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.84,0.93,,,,,,,,,,,,
AGT,AGT023+1.p,FOF_THM_RFO_SEQ,0.56,0.58,0.58,0.58,0.61,0.61,0.61,0.61,0.61,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,,,,,,,,,,,,
AGT,AGT023+2.p,FOF_THM_RFO_SEQ,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.60,0.62,0.62,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.71,,,,,,,,,,,,
AGT,AGT024+1.p,FOF_THM_RFO_SEQ,0.72,0.72,0.72,0.72,0.74,0.74,0.74,0.74,0.74,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,,,,,,,,,,,,
AGT,AGT024+2.p,FOF_THM_RFO_SEQ,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.75,0.75,0.75,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.85,0.86,0.86,0.86,,,,,,,,,,,,
AGT,AGT025+1.p,FOF_THM_RFO_SEQ,0.69,0.69,0.72,0.72,0.74,0.74,0.74,0.74,0.74,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.86,0.86,0.86,0.86,0.86,0.86,,,,,,,,,,,,
AGT,AGT025+2.p,FOF_THM_RFO_SEQ,0.72,0.72,0.72,0.72,0.74,0.74,0.74,0.74,0.74,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,,,,,,,,,,,,
AGT,AGT026+1.p,FOF_THM_RFO_SEQ,0.67,0.67,0.67,0.67,0.69,0.70,0.70,0.70,0.70,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.75,0.75,0.79,0.79,0.79,,,,,,,,,,,,
AGT,AGT026+2.p,FOF_THM_RFO_SEQ,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.79,0.79,0.79,,,,,,,,,,,,
AGT,AGT027^1.p,TH0_THM_EQU_NAR,0.29,0.29,0.29,0.29,0.29,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.67,0.67,0.67,0.67,0.80,1.00,,,,,,,,,,,,,,,,,,,,,,
AGT,AGT027^2.p,TH0_THM_EQU_NAR,0.43,0.43,0.43,0.43,0.43,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.80,0.80,0.80,1.00,,,,,,,,,,,,,,,,,,,,,,
AGT,AGT028^1.p,TH0_THM_EQU_NAR,0.10,0.14,0.14,0.14,0.14,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.33,0.60,0.60,,,,,,,,,,,,,,,,,,,,,,
AGT,AGT028^2.p,TH0_THM_EQU_NAR,0.10,0.11,0.11,0.11,0.11,0.11,0.11,0.14,0.14,0.14,0.17,0.20,0.29,0.29,0.29,0.33,0.60,0.80,,,,,,,,,,,,,,,,,,,,,,
AGT,AGT029^1.p,TH0_THM_EQU_NAR,0.27,0.27,0.27,0.27,0.29,0.33,0.33,0.33,0.33,0.33,0.33,0.40,0.57,0.57,0.57,0.67,0.80,0.80,,,,,,,,,,,,,,,,,,,,,,
AGT,AGT030^1.p,TH0_THM_EQU_NAR,0.29,0.29,0.29,0.29,0.29,0.44,0.44,0.50,0.50,0.50,0.50,0.60,0.67,0.67,0.67,0.67,0.80,1.00,,,,,,,,,,,,,,,,,,,,,,
AGT,AGT031^1.p,TH0_THM_EQU_NAR,0.14,0.14,0.14,0.14,0.14,0.33,0.33,0.33,0.33,0.33,0.33,0.40,0.57,0.57,0.57,0.67,,,,,,,,,,,,,,,,,,,,,,,,
AGT,AGT031^2.p,TH0_THM_EQU_NAR,0.14,0.14,0.14,0.14,0.14,0.44,0.56,0.60,0.60,0.60,0.60,0.60,0.71,0.71,0.71,0.80,0.80,0.80,,,,,,,,,,,,,,,,,,,,,,
AGT,AGT032^1.p,TH0_THM_EQU_NAR,0.10,0.11,0.11,0.11,0.11,0.11,0.14,0.14,0.14,0.14,0.17,0.20,0.29,0.29,0.29,0.33,,,,,,,,,,,,,,,,,,,,,,,,
AGT,AGT032^2.p,TH0_THM_EQU_NAR,0.14,0.14,0.14,0.14,0.14,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.50,0.80,0.80,,,,,,,,,,,,,,,,,,,,,,
AGT,AGT033^1.p,TH0_THM_EQU_NAR,0.10,0.14,0.14,0.14,0.14,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.33,,,,,,,,,,,,,,,,,,,,,,,,
AGT,AGT033^2.p,TH0_THM_EQU_NAR,0.10,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.17,0.40,0.80,,,,,,,,,,,,,,,,,,,,,,
AGT,AGT034^1.p,TH0_THM_EQU_NAR,0.14,0.14,0.14,0.14,0.14,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.33,,,,,,,,,,,,,,,,,,,,,,,,
AGT,AGT034^2.p,TH0_THM_EQU_NAR,0.14,0.14,0.14,0.14,0.14,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.33,0.80,0.80,,,,,,,,,,,,,,,,,,,,,,
AGT,AGT035^1.p,TH0_THM_EQU_NAR,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.12,0.12,0.14,0.17,0.20,0.29,0.29,0.29,0.33,,,,,,,,,,,,,,,,,,,,,,,,
AGT,AGT035^2.p,TH0_THM_EQU_NAR,0.14,0.14,0.14,0.14,0.14,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.50,0.80,1.00,,,,,,,,,,,,,,,,,,,,,,
AGT,AGT036^1.p,TH0_THM_EQU_NAR,0.00,0.00,0.00,0.00,0.00,0.11,0.14,0.14,0.14,0.14,0.17,0.20,0.29,0.29,0.29,0.33,,,,,,,,,,,,,,,,,,,,,,,,
AGT,AGT037^1.p,TH0_THM_EQU_NAR,0.10,0.14,0.14,0.14,0.14,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.33,,,,,,,,,,,,,,,,,,,,,,,,
AGT,AGT037^2.p,TH0_THM_EQU_NAR,0.10,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.17,0.40,0.80,,,,,,,,,,,,,,,,,,,,,,
AGT,AGT038^1.p,TH0_THM_EQU_NAR,0.10,0.14,0.14,0.14,0.14,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.33,,,,,,,,,,,,,,,,,,,,,,,,
AGT,AGT039^1.p,TH0_THM_EQU_NAR,0.10,0.14,0.14,0.14,0.14,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.33,,,,,,,,,,,,,,,,,,,,,,,,
AGT,AGT040^1.p,TH0_THM_EQU_NAR,0.10,0.14,0.14,0.14,0.14,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.33,,,,,,,,,,,,,,,,,,,,,,,,
AGT,AGT041^1.p,TH0_THM_EQU_NAR,0.10,0.14,0.14,0.14,0.14,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.33,,,,,,,,,,,,,,,,,,,,,,,,
AGT,AGT042+1.p,FOF_SAT_EPR_NEQ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGT,AGT042-10.p,CNF_SAT_RFO_PEQ_UEQ,0.00,0.00,0.00,0.00,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALG,ALG001-1.p,CNF_UNS_RFO_SEQ_NHN,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.90,0.90,0.90,0.90,0.90,0.90,,,,,,,,,,,,,,,,,,,,,,,,1.00,
ALG,ALG001-2.p,CNF_UNS_RFO_SEQ_NHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,
ALG,ALG001-3.p,CNF_UNS_RFO_SEQ_NHN,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALG,ALG001^5.p,TH0_THM_EQU_NAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,
ALG,ALG002-1.p,CNF_UNS_RFO_NEQ_NHN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
ALG,ALG003-1.p,CNF_UNS_RFO_PEQ_NUE,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,,,,,,,,
ALG,ALG004-1.p,CNF_UNS_RFO_PEQ_NUE,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.25,0.25,0.25,0.33,,,,
ALG,ALG005-1.p,CNF_UNS_RFO_PEQ_UEQ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
ALG,ALG006-1.p,CNF_UNS_RFO_PEQ_UEQ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
ALG,ALG007-1.p,CNF_UNS_RFO_PEQ_UEQ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
ALG,ALG008-1.p,CNF_SAT_RFO_EQU_NUE,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.50,0.50,0.67,0.67,1.00,,,,
ALG,ALG008-10.p,CNF_SAT_RFO_PEQ_UEQ,0.00,0.00,0.00,0.00,0.00,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALG,ALG009-1.p,CNF_UNS_RFO_SEQ_NHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,
ALG,ALG010-1.p,CNF_UNS_RFO_PEQ_NUE,0.87,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,
ALG,ALG011-1.p,CNF_UNS_RFO_SEQ_NHN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.09,0.09,,,,,,,,,,
ALG,ALG012-1.p,CNF_UNS_RFO_SEQ_NHN,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.18,0.18,0.18,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.42,0.43,0.64,0.64,,,,,,,,,,
ALG,ALG013-1.p,CNF_UNS_RFO_SEQ_NHN,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,
ALG,ALG014+1.p,FOF_THM_RFO_PEQ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,,,,,,,,,,
ALG,ALG014^7.p,TH0_THM_EQU_NAR,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,
ALG,ALG015+1.p,FOF_THM_RFO_PEQ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.11,0.11,0.25,0.25,,,,,,,,,,
ALG,ALG015^7.p,TH0_THM_EQU_NAR,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,
ALG,ALG016+1.p,FOF_THM_RFO_PEQ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.11,0.11,0.33,0.33,,,,,,,,,,
ALG,ALG016^7.p,TH0_THM_EQU_NAR,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,
ALG,ALG017+1.p,FOF_THM_RFO_PEQ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.08,0.11,0.11,0.11,,,,,,,,,,
